id,name,unit,price,category_name,supplier_name,supplier_phone,order_date,customer_name,customer_phone,shipper_name,shipper_phone,employee_name
27,"Schoggi Schokolade","100 - 100 g pieces",43.9,Confections,"Heli Susswaren GmbH and Co. KG","(010) 9984510",1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Federal Shipping","(503) 555-9931","Margaret Peacock"
28,"Chartreuse verte","750 cc per bottle",18,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Federal Shipping","(503) 555-9931","Margaret Peacock"
29,"Original Frankfurter grune Sosse","12 boxes",13,Condiments,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Federal Shipping","(503) 555-9931","Margaret Peacock"
30,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-07-17,"Ernst Handel","Roland Mendel","Speedy Express","(503) 555-9831","Nancy Davolio"
31,"Chef Antons Gumbo Mix","36 boxes",21.35,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-07-17,"Ernst Handel","Roland Mendel","Speedy Express","(503) 555-9831","Nancy Davolio"
32,"Mascarpone Fabioli","24 - 200 g pkgs.",32,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-07-17,"Ernst Handel","Roland Mendel","Speedy Express","(503) 555-9831","Nancy Davolio"
33,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-07-18,"Centro comercial Moctezuma","Francisco Chang","Federal Shipping","(503) 555-9931","Margaret Peacock"
34,"Gravad lax","12 - 500 g pkgs.",26,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-07-18,"Centro comercial Moctezuma","Francisco Chang","Federal Shipping","(503) 555-9931","Margaret Peacock"
35,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-07-19,"Old World Delicatessen","Rene Phillips","Speedy Express","(503) 555-9831","Margaret Peacock"
36,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-07-19,"Old World Delicatessen","Rene Phillips","Speedy Express","(503) 555-9831","Margaret Peacock"
37,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-07-19,"Old World Delicatessen","Rene Phillips","Speedy Express","(503) 555-9831","Margaret Peacock"
38,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Pavlova, Ltd.","(03) 444-2343",1996-07-19,"Old World Delicatessen","Rene Phillips","Speedy Express","(503) 555-9831","Margaret Peacock"
39,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-07-19,"Que Delicia","Bernardo Batista","United Package","(503) 555-3199","Margaret Peacock"
40,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-07-19,"Que Delicia","Bernardo Batista","United Package","(503) 555-3199","Margaret Peacock"
41,"Chef Antons Gumbo Mix","36 boxes",21.35,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","Federal Shipping","(503) 555-9931","Laura Callahan"
42,"Uncle Bobs Organic Dried Pears","12 - 1 lb pkgs.",30,Produce,"Grandma Kellys Homestead","(313) 555-5735",1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","Federal Shipping","(503) 555-9931","Laura Callahan"
43,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","Federal Shipping","(503) 555-9931","Laura Callahan"
44,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-07-23,"Ernst Handel","Roland Mendel","Federal Shipping","(503) 555-9931","Anne Dodsworth"
45,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-07-23,"Ernst Handel","Roland Mendel","Federal Shipping","(503) 555-9931","Anne Dodsworth"
46,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-07-23,"Ernst Handel","Roland Mendel","Federal Shipping","(503) 555-9931","Anne Dodsworth"
47,"Longlife Tofu","5 kg pkg.",10,Produce,"Tokyo Traders","(03) 3555-5011",1996-07-23,"Ernst Handel","Roland Mendel","Federal Shipping","(503) 555-9931","Anne Dodsworth"
48,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-07-24,"Folk och fa HB","Maria Larsson","Federal Shipping","(503) 555-9931","Michael Suyama"
49,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-07-24,"Folk och fa HB","Maria Larsson","Federal Shipping","(503) 555-9931","Michael Suyama"
50,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-07-25,"Blondel pere et fils","Frederique Citeaux","Speedy Express","(503) 555-9831","Andrew Fuller"
51,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Pavlova, Ltd.","(03) 444-2343",1996-07-25,"Blondel pere et fils","Frederique Citeaux","Speedy Express","(503) 555-9831","Andrew Fuller"
52,"Queso Manchego La Pastora","10 - 500 g pkgs.",38,"Dairy Products","Cooperativa de Quesos Las Cabras","(98) 598 76 54",1996-07-26,"Wartian Herkku","Pirkko Koskitalo","Federal Shipping","(503) 555-9931","Janet Leverling"
53,"Boston Crab Meat","24 - 4 oz tins",18.4,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-07-29,Frankenversand,"Peter Franken","Speedy Express","(503) 555-9831","Margaret Peacock"
54,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-07-29,Frankenversand,"Peter Franken","Speedy Express","(503) 555-9831","Margaret Peacock"
55,Lakkalikoori,"500 ml",18,Beverages,"Karkki Oy","(953) 10956",1996-07-29,Frankenversand,"Peter Franken","Speedy Express","(503) 555-9831","Margaret Peacock"
56,"Thuringer Rostbratwurst","50 bags x 30 sausgs.",123.79,Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-07-30,GROSELLA-Restaurante,"Manuel Pereira","Federal Shipping","(503) 555-9931","Laura Callahan"
57,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-07-30,GROSELLA-Restaurante,"Manuel Pereira","Federal Shipping","(503) 555-9931","Laura Callahan"
58,Geitost,"500 g",2.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-07-31,"White Clover Markets","Karl Jablonski","Speedy Express","(503) 555-9831","Steven Buchanan"
59,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-07-31,"White Clover Markets","Karl Jablonski","Speedy Express","(503) 555-9831","Steven Buchanan"
60,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-08-01,"Wartian Herkku","Pirkko Koskitalo","Speedy Express","(503) 555-9831","Nancy Davolio"
61,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-08-01,"Wartian Herkku","Pirkko Koskitalo","Speedy Express","(503) 555-9831","Nancy Davolio"
62,Geitost,"500 g",2.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-08-01,"Split Rail Beer & Ale","Art Braunschweiger","United Package","(503) 555-3199","Michael Suyama"
63,"Sir Rodneys Marmalade","30 gift boxes",81,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-08-02,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Michael Suyama"
64,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-08-02,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Michael Suyama"
65,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-08-02,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Michael Suyama"
66,Ikura,"12 - 200 ml jars",31,Seafood,"Tokyo Traders","(03) 3555-5011",1996-08-05,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Janet Leverling"
67,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-08-05,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Janet Leverling"
68,Geitost,"500 g",2.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-08-05,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Janet Leverling"
69,"Boston Crab Meat","24 - 4 oz tins",18.4,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-08-05,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Janet Leverling"
70,Lakkalikoori,"500 ml",18,Beverages,"Karkki Oy","(953) 10956",1996-08-05,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Janet Leverling"
71,Flotemysost,"10 - 500 g pkgs.",21.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-08-06,"Vins et alcools Chevalier","Paul Henriot","Speedy Express","(503) 555-9831","Michael Suyama"
72,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-08-06,"Vins et alcools Chevalier","Paul Henriot","Speedy Express","(503) 555-9831","Michael Suyama"
73,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-08-07,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Speedy Express","(503) 555-9831","Nancy Davolio"
74,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-08-07,"Magazzini Alimentari Riuniti","Giovanni Rovelli","Speedy Express","(503) 555-9831","Nancy Davolio"
75,Ikura,"12 - 200 ml jars",31,Seafood,"Tokyo Traders","(03) 3555-5011",1996-08-08,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Laura Callahan"
76,Konbu,"2 kg box",6,Seafood,Mayumis,"(06) 431-7877",1996-08-08,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Laura Callahan"
77,"Rossle Sauerkraut","25 - 825 g cans",45.6,Produce,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-09,"Morgenstern Gesundkost","Alexander Feuer","Federal Shipping","(503) 555-9931","Andrew Fuller"
78,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-08-09,"Morgenstern Gesundkost","Alexander Feuer","Federal Shipping","(503) 555-9931","Andrew Fuller"
79,"Gula Malacca","20 - 2 kg bags",19.45,Condiments,"Leka Trading",555-8787,1996-08-12,"Berglunds snabbkop","Christina Berglund","United Package","(503) 555-3199","Laura Callahan"
80,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-08-12,"Berglunds snabbkop","Christina Berglund","United Package","(503) 555-3199","Laura Callahan"
81,Vegie-spread,"15 - 625 g jars",43.9,Condiments,"Pavlova, Ltd.","(03) 444-2343",1996-08-12,"Berglunds snabbkop","Christina Berglund","United Package","(503) 555-3199","Laura Callahan"
82,"Rod Kaviar","24 - 150 g jars",15,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-08-12,"Berglunds snabbkop","Christina Berglund","United Package","(503) 555-3199","Laura Callahan"
83,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-08-13,"Lehmanns Marktstand","Renate Messner","United Package","(503) 555-3199","Laura Callahan"
84,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-08-14,"Berglunds snabbkop","Christina Berglund","Speedy Express","(503) 555-9831","Andrew Fuller"
85,"Pate chinois","24 boxes x 2 pies",24,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-08-14,"Berglunds snabbkop","Christina Berglund","Speedy Express","(503) 555-9831","Andrew Fuller"
86,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,Beverages,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-14,"Berglunds snabbkop","Christina Berglund","Speedy Express","(503) 555-9831","Andrew Fuller"
87,"Teatime Chocolate Biscuits","10 boxes x 12 pieces",9.2,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-08-14,"Romero y tomillo","Alejandra Camino","Speedy Express","(503) 555-9831","Margaret Peacock"
88,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-08-14,"Romero y tomillo","Alejandra Camino","Speedy Express","(503) 555-9831","Margaret Peacock"
89,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-08-14,"Romero y tomillo","Alejandra Camino","Speedy Express","(503) 555-9831","Margaret Peacock"
90,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-08-15,"Romero y tomillo","Alejandra Camino","Speedy Express","(503) 555-9831","Margaret Peacock"
91,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-08-15,"Romero y tomillo","Alejandra Camino","Speedy Express","(503) 555-9831","Margaret Peacock"
92,"Genen Shouyu","24 - 250 ml bottles",15.5,Condiments,Mayumis,"(06) 431-7877",1996-08-16,LILA-Supermercado,"Carlos Gonzalez","Federal Shipping","(503) 555-9931","Janet Leverling"
93,"Teatime Chocolate Biscuits","10 boxes x 12 pieces",9.2,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-08-16,LILA-Supermercado,"Carlos Gonzalez","Federal Shipping","(503) 555-9931","Janet Leverling"
94,"Camembert Pierrot","15 - 300 g rounds",34,"Dairy Products","Gai paturage",38.76.98.06,1996-08-16,LILA-Supermercado,"Carlos Gonzalez","Federal Shipping","(503) 555-9931","Janet Leverling"
95,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-08-16,LILA-Supermercado,"Carlos Gonzalez","Federal Shipping","(503) 555-9931","Janet Leverling"
96,"Schoggi Schokolade","100 - 100 g pieces",43.9,Confections,"Heli Susswaren GmbH and Co. KG","(010) 9984510",1996-08-19,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
97,"Gula Malacca","20 - 2 kg bags",19.45,Condiments,"Leka Trading",555-8787,1996-08-19,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
98,"Camembert Pierrot","15 - 300 g rounds",34,"Dairy Products","Gai paturage",38.76.98.06,1996-08-19,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
99,"Laughing Lumberjack Lager","24 - 12 oz bottles",14,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-08-19,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
100,Chais,"10 boxes x 20 bags",18,Beverages,"Exotic Liquid","(171) 555-2222",1996-08-20,QUICK-Stop,"Horst Kloss","United Package","(503) 555-3199","Nancy Davolio"
101,"Boston Crab Meat","24 - 4 oz tins",18.4,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-08-20,QUICK-Stop,"Horst Kloss","United Package","(503) 555-3199","Nancy Davolio"
102,"Perth Pasties","48 pieces",32.8,Meat/Poultry,"Gday, Mate","(02) 555-5914",1996-08-20,QUICK-Stop,"Horst Kloss","United Package","(503) 555-3199","Nancy Davolio"
103,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-08-21,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Laura Callahan"
104,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-08-21,QUICK-Stop,"Horst Kloss","Federal Shipping","(503) 555-9931","Laura Callahan"
105,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-08-22,"Ricardo Adocicados","Janete Limeira","Federal Shipping","(503) 555-9931","Laura Callahan"
106,"Sasquatch Ale","24 - 12 oz bottles",14,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-08-22,"Ricardo Adocicados","Janete Limeira","Federal Shipping","(503) 555-9931","Laura Callahan"
107,Spegesild,"4 - 450 g glasses",12,Seafood,Lyngbysild,43844108,1996-08-22,"Ricardo Adocicados","Janete Limeira","Federal Shipping","(503) 555-9931","Laura Callahan"
108,Tourtiere,"16 pies",7.45,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-08-23,"Reggiani Caseifici","Maurizio Moroni","Speedy Express","(503) 555-9831","Margaret Peacock"
109,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-08-23,"Reggiani Caseifici","Maurizio Moroni","Speedy Express","(503) 555-9831","Margaret Peacock"
110,"Aniseed Syrup","12 - 550 ml bottles",10,Condiments,"Exotic Liquid","(171) 555-2222",1996-08-26,"Bs Beverages","Victoria Ashworth","Federal Shipping","(503) 555-9931","Robert King"
111,"Wimmers gute Semmelknodel","20 bags x 4 pieces",33.25,Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-26,"Bs Beverages","Victoria Ashworth","Federal Shipping","(503) 555-9931","Robert King"
112,"Chef Antons Gumbo Mix","36 boxes",21.35,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-08-27,"Comercio Mineiro","Pedro Afonso","Speedy Express","(503) 555-9831","Laura Callahan"
113,"Thuringer Rostbratwurst","50 bags x 30 sausgs.",123.79,Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-27,"Comercio Mineiro","Pedro Afonso","Speedy Express","(503) 555-9831","Laura Callahan"
114,Maxilaku,"24 - 50 g pkgs.",20,Confections,"Karkki Oy","(953) 10956",1996-08-27,"Comercio Mineiro","Pedro Afonso","Speedy Express","(503) 555-9831","Laura Callahan"
115,"Original Frankfurter grune Sosse","12 boxes",13,Condiments,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-27,"Comercio Mineiro","Pedro Afonso","Speedy Express","(503) 555-9831","Laura Callahan"
116,Konbu,"2 kg box",6,Seafood,Mayumis,"(06) 431-7877",1996-08-27,"Que Delicia","Bernardo Batista","United Package","(503) 555-3199","Michael Suyama"
117,"Gula Malacca","20 - 2 kg bags",19.45,Condiments,"Leka Trading",555-8787,1996-08-27,"Que Delicia","Bernardo Batista","United Package","(503) 555-3199","Michael Suyama"
118,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Gday, Mate","(02) 555-5914",1996-08-27,"Que Delicia","Bernardo Batista","United Package","(503) 555-3199","Michael Suyama"
119,"Sir Rodneys Marmalade","30 gift boxes",81,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-08-28,"Tradicao Hipermercados","Anabela Domingues","United Package","(503) 555-3199","Nancy Davolio"
120,"Carnarvon Tigers","16 kg pkg.",62.5,Seafood,"Pavlova, Ltd.","(03) 444-2343",1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Nancy Davolio"
121,"Guarana Fantastica","12 - 355 ml cans",4.5,Beverages,"Refrescos Americanas LTDA","(11) 555 4640",1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Nancy Davolio"
122,Vegie-spread,"15 - 625 g jars",43.9,Condiments,"Pavlova, Ltd.","(03) 444-2343",1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Nancy Davolio"
123,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,Beverages,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Nancy Davolio"
124,Chais,"10 boxes x 20 bags",18,Beverages,"Exotic Liquid","(171) 555-2222",1996-08-30,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Margaret Peacock"
125,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-08-30,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Margaret Peacock"
126,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-08-30,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Margaret Peacock"
127,"Camembert Pierrot","15 - 300 g rounds",34,"Dairy Products","Gai paturage",38.76.98.06,1996-08-30,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Margaret Peacock"
128,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,Beverages,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-08-30,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Margaret Peacock"
129,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-09-02,"Vins et alcools Chevalier","Paul Henriot","United Package","(503) 555-3199","Andrew Fuller"
130,"Queso Cabrales","1 kg pkg.",21,"Dairy Products","Cooperativa de Quesos Las Cabras","(98) 598 76 54",1996-09-03,LILA-Supermercado,"Carlos Gonzalez","Speedy Express","(503) 555-9831","Michael Suyama"
